,Unnamed: 0,cluster_id,country,svy_yr_ed,nmothers,lat,lon,pct_no_education,pct_primary_education,pct_secondary_education,pct_higher_education,imr,yrgroup_imr,id
64,18,AM2015_115,Armenia,2015,16,40.1632941925,44.3061141416,0.0,0.0625,0.375,0.5625,0.0,2011-2015,18
65,70,AM2015_163,Armenia,2015,5,40.802954816399996,44.457120789099996,0.0,0.0,0.4,0.6,0.0,2011-2015,70
66,4,AM2015_102,Armenia,2015,15,40.0870349854,44.0078219073,0.0,0.0666666666666667,0.5333333333333329,0.4,0.0,2011-2015,4
67,213,AM2015_295,Armenia,2015,5,40.7376500941,44.833741026000006,0.0,0.0,0.2,0.8,0.0,2011-2015,213
68,246,AM2015_42,Armenia,2015,20,40.158702257899996,44.46409424189999,0.0,0.05,0.35,0.6,0.0,2011-2015,246
69,288,AM2015_82,Armenia,2015,11,40.0198084127,44.38815962939999,0.0,0.0909090909090909,0.545454545454545,0.36363636363636404,0.0,2011-2015,288
70,44,AM2015_139,Armenia,2015,12,40.1243916461,45.3756938771,0.0,0.0,1.0,0.0,0.0,2011-2015,44
71,120,AM2015_210,Armenia,2015,15,40.259453031999996,44.5828225767,0.0,0.0666666666666667,0.6,0.33333333333333304,0.0,2011-2015,120
72,32,AM2015_128,Armenia,2015,8,40.3550143779,45.1096852532,0.0,0.0,0.375,0.625,0.0,2011-2015,32
73,60,AM2015_154,Armenia,2015,8,40.8363465364,44.4408393882,0.0,0.0,0.375,0.625,0.0,2011-2015,60
74,81,AM2015_174,Armenia,2015,7,41.0289503946,44.3227520713,0.0,0.0,0.28571428571428603,0.7142857142857142,0.0,2011-2015,81
75,121,AM2015_211,Armenia,2015,14,40.2393274664,44.5113350354,0.0,0.0,0.6428571428571429,0.3571428571428571,0.0,2011-2015,121
76,176,AM2015_261,Armenia,2015,13,38.8722934628,46.194329666899996,0.0,0.0769230769230769,0.23076923076923106,0.6923076923076921,0.0,2011-2015,176
77,180,AM2015_265,Armenia,2015,9,39.5685055255,45.94107056520001,0.0,0.0,0.555555555555556,0.444444444444444,0.0,2011-2015,180
78,110,AM2015_201,Armenia,2015,15,40.2816126983,44.638820026800005,0.0,0.0,0.4,0.6,0.0,2011-2015,110
79,227,AM2015_307,Armenia,2015,15,41.1770209302,44.932977048299996,0.0,0.0,0.33333333333333304,0.666666666666667,0.0,2011-2015,227
80,235,AM2015_32,Armenia,2015,12,40.2002196117,44.559707302,0.0,0.0,0.0,1.0,0.0,2011-2015,235
81,150,AM2015_238,Armenia,2015,10,40.6298572313,43.9804553167,0.0,0.1,0.2,0.7,0.0,2011-2015,150
82,258,AM2015_53,Armenia,2015,9,40.278609632,44.3658207959,0.0,0.0,0.222222222222222,0.7777777777777779,0.0,2011-2015,258
83,61,AM2015_155,Armenia,2015,8,40.794435031599996,44.453679977,0.0,0.125,0.625,0.25,0.0,2011-2015,61
84,177,AM2015_262,Armenia,2015,8,38.9441623889,46.3570450294,0.0,0.125,0.625,0.25,0.0,2011-2015,177
